,New England : all utility-scale solar.1,Connecticut : all utility-scale solar.1,Maine : all utility-scale solar.1,Massachusetts : all utility-scale solar.1,Rhode Island : all utility-scale solar.1,Vermont : all utility-scale solar.1,Middle Atlantic : all utility-scale solar.1,New Jersey : all utility-scale solar.1,New York : all utility-scale solar.1,Pennsylvania : all utility-scale solar.1,East North Central : all utility-scale solar.1,Illinois : all utility-scale solar.1,Indiana : all utility-scale solar.1,Michigan : all utility-scale solar.1,Ohio : all utility-scale solar.1,South Atlantic : all utility-scale solar.1,Delaware : all utility-scale solar.1,Florida : all utility-scale solar.1,Maryland : all utility-scale solar.1,North Carolina : all utility-scale solar.1,West South Central : all utility-scale solar.1,Texas : all utility-scale solar.1,Mountain : all utility-scale solar.1,Arizona : all utility-scale solar.1,Colorado : all utility-scale solar.1,Idaho : all utility-scale solar.1,Montana : all utility-scale solar.1,Nevada : all utility-scale solar.1,New Mexico : all utility-scale solar.1,Utah : all utility-scale solar.1,Pacific Contiguous : all utility-scale solar.1,California : all utility-scale solar.1,Oregon : all utility-scale solar.1,Washington : all utility-scale solar.1,Pacific Noncontiguous : all utility-scale solar.1,Hawaii : all utility-scale solar.1
10,0.5454545454545454,0.48000000000000004,0.05,0.6967741935483871,0.14285714285714285,0.6521739130434782,0.5619469026548672,0.8037383177570092,0.41666666666666663,0.23809523809523808,0.24183006535947715,0.07894736842105263,0.5964912280701753,0.3333333333333333,0.16842105263157894,0.36206896551724144,0.6666666666666665,0.20357142857142857,0.6904761904761906,0.6641221374045801,0.19536631183469005,0.19233268356075373,0.5974343310934637,0.5798922800718133,0.5384615384615384,0.7704918032786885,0.5,0.5473887814313345,0.6746031746031744,0.4562500000000001,0.7812080536912751,0.8053977272727273,0.3333333333333333,0.7142857142857142,0.2682926829268293,0.2682926829268293
11,0.4189723320158102,0.36000000000000004,0.05,0.535483870967742,0.1142857142857143,0.5217391304347826,0.48672566371681414,0.6822429906542056,0.37037037037037035,0.23809523809523808,0.21895424836601307,0.06578947368421052,0.5438596491228069,0.3125,0.1473684210526316,0.30434782608695654,0.6666666666666665,0.175,0.5476190476190476,0.5534351145038169,0.17783343769567939,0.17478882391163092,0.6353084911423336,0.6624775583482944,0.5448717948717948,0.7704918032786885,0.5,0.5705996131528046,0.6825396825396823,0.4625000000000001,0.761744966442953,0.7855113636363635,0.32222222222222224,0.7142857142857142,0.2682926829268293,0.2682926829268293
12,0.3913043478260869,0.32,0.05,0.4903225806451613,0.1142857142857143,0.5652173913043478,0.38938053097345127,0.5514018691588785,0.3055555555555556,0.19047619047619047,0.1437908496732026,0.039473684210526314,0.3508771929824562,0.1875,0.09473684210526317,0.29722638680659674,0.6666666666666665,0.23452380952380952,0.4999999999999999,0.47073791348600513,0.13337507827175954,0.13060428849902533,0.48075748320097744,0.45780969479353684,0.40384615384615385,0.540983606557377,0.5,0.48162475822050294,0.5158730158730158,0.3687500000000001,0.5604026845637584,0.5788352272727273,0.2277777777777778,0.5714285714285714,0.3414634146341463,0.3414634146341463
13,0.20948616600790512,0.15999999999999998,0.0,0.2645161290322581,0.05714285714285714,0.34782608695652173,0.20353982300884954,0.29906542056074764,0.1851851851851852,0.09523809523809523,0.11111111111111112,0.02631578947368421,0.2631578947368421,0.14583333333333331,0.0736842105263158,0.2005247376311844,0.33333333333333326,0.16785714285714287,0.30952380952380953,0.31170483460559795,0.1070757670632436,0.1078622482131254,0.46976175931582165,0.48473967684021546,0.3717948717948718,0.5081967213114753,0.5,0.4468085106382979,0.5079365079365079,0.35937500000000006,0.4822147651006711,0.4982244318181818,0.2,0.5714285714285714,0.41463414634146345,0.41463414634146345
14,0.1264822134387352,0.08000000000000002,0.0,0.16129032258064518,0.028571428571428574,0.26086956521739124,0.18141592920353977,0.27102803738317754,0.16666666666666666,0.09523809523809523,0.03594771241830065,0.013157894736842105,0.08771929824561403,0.04166666666666666,0.03157894736842105,0.15479760119940034,0.33333333333333326,0.12976190476190474,0.23809523809523814,0.21755725190839692,0.05009392611145899,0.050682261208576995,0.14111178985949913,0.10592459605026927,0.1282051282051282,0.21311475409836067,0.25,0.1798839458413926,0.13492063492063494,0.11250000000000004,0.1848993288590604,0.19140624999999994,0.07777777777777778,0.2857142857142857,0.4390243902439024,0.4390243902439024
15,0.007905138339920958,0.03999999999999998,0.0,0.006451612903225823,0.0,0.08695652173913043,0.0,0.03738317757009346,0.04629629629629631,0.0,0.029411764705882346,0.013157894736842105,0.07017543859649122,0.04166666666666666,0.02105263157894737,0.13455772113943032,0.0,0.08690476190476187,0.07142857142857151,0.20737913486005088,0.07388854101440201,0.07667316439246263,0.0036652412950519686,0.0053859964093356805,0.03205128205128205,0.03278688524590162,0.0,0.0,0.03968253968253971,0.0,0.0,0.0,0.016666666666666663,0.2857142857142857,0.31707317073170727,0.31707317073170727
16,0.13043478260869565,0.24,0.05,0.14193548387096777,0.14285714285714285,0.043478260869565216,0.18141592920353977,0.20560747663551399,0.23148148148148148,0.09523809523809523,0.0196078431372549,0.0,0.05263157894736842,0.04166666666666666,0.010526315789473682,0.19077961019490258,0.0,0.2142857142857143,0.11904761904761907,0.2137404580152672,0.09956167814652472,0.10396361273554255,0.180818570555895,0.21723518850987433,0.16025641025641024,0.0,0.0,0.1760154738878143,0.29365079365079366,0.09062500000000001,0.14932885906040266,0.15944602272727276,0.0,0.14285714285714285,0.29268292682926833,0.29268292682926833
17,0.2411067193675889,0.32,0.05,0.2709677419354839,0.2571428571428571,0.13043478260869565,0.24778761061946897,0.27102803738317754,0.287037037037037,0.19047619047619047,0.07189542483660132,0.02631578947368421,0.12280701754385964,0.10416666666666666,0.052631578947368425,0.22676161919040483,0.0,0.2630952380952381,0.2142857142857143,0.23282442748091603,0.1427676894176581,0.14684860298895386,0.310323762981063,0.3105924596050269,0.1858974358974359,0.2950819672131148,0.25,0.332688588007737,0.3333333333333333,0.23437500000000006,0.3436241610738255,0.35014204545454547,0.2277777777777778,0.42857142857142855,0.4390243902439024,0.4390243902439024
18,0.5019762845849802,0.56,0.1,0.5548387096774193,0.42857142857142855,0.608695652173913,0.49557522123893805,0.5607476635514017,0.5,0.3333333333333333,0.12091503267973856,0.02631578947368421,0.3157894736842105,0.16666666666666666,0.06315789473684211,0.38980509745127434,0.33333333333333326,0.43214285714285716,0.45238095238095244,0.41984732824427484,0.1577958672510958,0.1617933723196881,0.4111178985949909,0.40215439856373425,0.45512820512820507,0.49180327868852464,0.5,0.38104448742746616,0.4523809523809524,0.28750000000000003,0.3335570469798658,0.3348721590909091,0.2888888888888889,0.5714285714285714,0.5365853658536586,0.5365853658536586
19,0.4861660079051383,0.52,0.1,0.5225806451612903,0.42857142857142855,0.6956521739130435,0.5176991150442477,0.5981308411214952,0.5092592592592593,0.3333333333333333,0.17320261437908496,0.05263157894736842,0.3859649122807017,0.22916666666666663,0.10526315789473684,0.5356071964017991,0.6666666666666665,0.4642857142857143,0.5714285714285715,0.7099236641221375,0.24107701941139636,0.24496426250812214,0.6346976175931583,0.6606822262118491,0.6474358974358974,0.7540983606557377,0.75,0.5299806576402322,0.8253968253968254,0.434375,0.5211409395973154,0.5213068181818181,0.4722222222222222,0.7142857142857142,0.7560975609756098,0.7560975609756098
